
⚡天线信号👉咪咕央视,#genre#
CCTV4,http://60.168.225.251:2000/rtp/238.1.78.236:7760
CCTV4,http://60.169.42.1:4000/rtp/238.1.78.236:7760
CCTV5+,http://114.98.161.172:2000/rtp/238.1.78.237:7768
CCTV5+,http://117.57.79.182:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.67.176.35:4022/rtp/238.1.78.237:7768
CCTV5+,http://117.69.24.205:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.69.50.205:8888/rtp/238.1.78.237:7768
CCTV5+,http://117.82.217.77:4000/rtp/238.1.78.237:7768
CCTV5+,http://180.117.245.212:4022/rtp/238.1.78.237:7768
CCTV5+,http://183.166.124.121:8888/rtp/238.1.78.237:7768
CCTV5+,http://223.215.11.181:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.168.225.189:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.168.225.251:2000/rtp/238.1.78.237:7768
CCTV5+,http://60.169.42.1:4000/rtp/238.1.78.237:7768
CCTV5,http://114.98.161.172:2000/rtp/238.1.78.171:7240
CCTV5,http://117.57.79.182:8888/rtp/238.1.78.171:7240
CCTV5,http://117.67.176.35:4022/rtp/238.1.78.171:7240
CCTV5,http://117.69.24.205:8888/rtp/238.1.78.171:7240
CCTV5,http://117.69.50.205:8888/rtp/238.1.78.171:7240
CCTV5,http://117.82.217.77:4000/rtp/238.1.78.171:7240
CCTV5,http://180.117.245.212:4022/rtp/238.1.78.171:7240
CCTV5,http://183.166.124.121:8888/rtp/238.1.78.171:7240
CCTV5,http://223.215.11.181:2000/rtp/238.1.78.171:7240
CCTV5,http://60.168.225.189:2000/rtp/238.1.78.171:7240
CCTV5,http://60.168.225.251:2000/rtp/238.1.78.171:7240
CCTV5,http://60.169.42.1:4000/rtp/238.1.78.171:7240
CCTV6,http://114.98.161.172:2000/rtp/238.1.78.172:7248
CCTV6,http://117.57.79.182:8888/rtp/238.1.78.172:7248
CCTV6,http://117.67.176.35:4022/rtp/238.1.78.172:7248
CCTV6,http://117.69.24.205:8888/rtp/238.1.78.172:7248
CCTV6,http://117.69.50.205:8888/rtp/238.1.78.172:7248
CCTV6,http://117.82.217.77:4000/rtp/238.1.78.172:7248
CCTV6,http://180.117.245.212:4022/rtp/238.1.78.172:7248
CCTV6,http://183.166.124.121:8888/rtp/238.1.78.172:7248
CCTV6,http://223.215.11.181:2000/rtp/238.1.78.172:7248
CCTV6,http://60.168.225.189:2000/rtp/238.1.78.172:7248
CCTV6,http://60.168.225.251:2000/rtp/238.1.78.172:7248
CCTV6,http://60.169.42.1:4000/rtp/238.1.78.172:7248
CCTV7,http://114.98.161.172:2000/rtp/238.1.78.239:7784
CCTV7,http://117.57.79.182:8888/rtp/238.1.78.239:7784
CCTV7,http://117.67.176.35:4022/rtp/238.1.78.239:7784
CCTV7,http://117.69.24.205:8888/rtp/238.1.78.239:7784
CCTV7,http://117.69.50.205:8888/rtp/238.1.78.239:7784
CCTV7,http://117.82.217.77:4000/rtp/238.1.78.239:7784
CCTV7,http://180.117.245.212:4022/rtp/238.1.78.239:7784
CCTV7,http://183.166.124.121:8888/rtp/238.1.78.239:7784
CCTV7,http://223.215.11.181:2000/rtp/238.1.78.239:7784
CCTV7,http://60.168.225.189:2000/rtp/238.1.78.239:7784
CCTV7,http://60.168.225.251:2000/rtp/238.1.78.239:7784
CCTV7,http://60.169.42.1:4000/rtp/238.1.78.239:7784
CCTV8,http://114.98.161.172:2000/rtp/238.1.78.173:7256
CCTV8,http://117.57.79.182:8888/rtp/238.1.78.173:7256
CCTV8,http://117.67.176.35:4022/rtp/238.1.78.173:7256
CCTV8,http://117.69.24.205:8888/rtp/238.1.78.173:7256
CCTV8,http://117.69.50.205:8888/rtp/238.1.78.173:7256
CCTV8,http://117.82.217.77:4000/rtp/238.1.78.173:7256
CCTV8,http://180.117.245.212:4022/rtp/238.1.78.173:7256
CCTV8,http://183.166.124.121:8888/rtp/238.1.78.173:7256
CCTV8,http://223.215.11.181:2000/rtp/238.1.78.173:7256
CCTV8,http://60.168.225.189:2000/rtp/238.1.78.173:7256
CCTV8,http://60.168.225.251:2000/rtp/238.1.78.173:7256
CCTV8,http://60.169.42.1:4000/rtp/238.1.78.173:7256
CCTV9,http://114.98.161.172:2000/rtp/238.1.78.240:7792
CCTV9,http://117.57.79.182:8888/rtp/238.1.78.240:7792
CCTV9,http://117.67.176.35:4022/rtp/238.1.78.240:7792
CCTV9,http://117.69.24.205:8888/rtp/238.1.78.240:7792
CCTV9,http://117.69.50.205:8888/rtp/238.1.78.240:7792
CCTV9,http://117.82.217.77:4000/rtp/238.1.78.240:7792
CCTV9,http://180.117.245.212:4022/rtp/238.1.78.240:7792
CCTV9,http://183.166.124.121:8888/rtp/238.1.78.240:7792
CCTV9,http://223.215.11.181:2000/rtp/238.1.78.240:7792
CCTV9,http://60.168.225.189:2000/rtp/238.1.78.240:7792
CCTV9,http://60.168.225.251:2000/rtp/238.1.78.240:7792
CCTV9,http://60.169.42.1:4000/rtp/238.1.78.240:7792
CCTV10,http://114.98.161.172:2000/rtp/238.1.78.241:7800
CCTV10,http://117.57.79.182:8888/rtp/238.1.78.241:7800
CCTV10,http://117.67.176.35:4022/rtp/238.1.78.241:7800
CCTV10,http://117.69.24.205:8888/rtp/238.1.78.241:7800
CCTV10,http://117.69.50.205:8888/rtp/238.1.78.241:7800
CCTV10,http://117.82.217.77:4000/rtp/238.1.78.241:7800
CCTV10,http://180.117.245.212:4022/rtp/238.1.78.241:7800
CCTV10,http://183.166.124.121:8888/rtp/238.1.78.241:7800
CCTV10,http://223.215.11.181:2000/rtp/238.1.78.241:7800
CCTV10,http://60.168.225.189:2000/rtp/238.1.78.241:7800
CCTV10,http://60.168.225.251:2000/rtp/238.1.78.241:7800
CCTV10,http://60.169.42.1:4000/rtp/238.1.78.241:7800
CCTV11,http://114.98.161.172:2000/rtp/238.1.78.206:7502
CCTV11,http://117.57.79.182:8888/rtp/238.1.78.206:7502
CCTV11,http://117.67.176.35:4022/rtp/238.1.78.206:7502
CCTV11,http://117.69.24.205:8888/rtp/238.1.78.206:7502
CCTV11,http://117.69.50.205:8888/rtp/238.1.78.206:7502
CCTV11,http://117.82.217.77:4000/rtp/238.1.78.206:7502
CCTV11,http://180.117.245.212:4022/rtp/238.1.78.206:7502
CCTV11,http://183.166.124.121:8888/rtp/238.1.78.206:7502
CCTV11,http://223.215.11.181:2000/rtp/238.1.78.206:7502
CCTV11,http://60.168.225.189:2000/rtp/238.1.78.206:7502
CCTV11,http://60.168.225.251:2000/rtp/238.1.78.206:7502
CCTV11,http://60.169.42.1:4000/rtp/238.1.78.206:7502
CCTV12,http://114.98.161.172:2000/rtp/238.1.78.242:7808
CCTV12,http://117.57.79.182:8888/rtp/238.1.78.242:7808
CCTV12,http://117.67.176.35:4022/rtp/238.1.78.242:7808
CCTV12,http://117.69.24.205:8888/rtp/238.1.78.242:7808
CCTV12,http://117.69.50.205:8888/rtp/238.1.78.242:7808
CCTV12,http://117.82.217.77:4000/rtp/238.1.78.242:7808
CCTV12,http://180.117.245.212:4022/rtp/238.1.78.242:7808
CCTV12,http://183.166.124.121:8888/rtp/238.1.78.242:7808
CCTV12,http://223.215.11.181:2000/rtp/238.1.78.242:7808
CCTV12,http://60.168.225.189:2000/rtp/238.1.78.242:7808
CCTV12,http://60.168.225.251:2000/rtp/238.1.78.242:7808
CCTV12,http://60.169.42.1:4000/rtp/238.1.78.242:7808
CCTV13,http://114.98.161.172:2000/rtp/238.1.79.35:4392
CCTV13,http://117.57.79.182:8888/rtp/238.1.79.35:4392
CCTV13,http://117.67.176.35:4022/rtp/238.1.79.35:4392
CCTV13,http://117.69.24.205:8888/rtp/238.1.79.35:4392
CCTV13,http://117.69.50.205:8888/rtp/238.1.79.35:4392
CCTV13,http://117.82.217.77:4000/rtp/238.1.79.35:4392
CCTV13,http://180.117.245.212:4022/rtp/238.1.79.35:4392
CCTV13,http://183.166.124.121:8888/rtp/238.1.79.35:4392
CCTV13,http://223.215.11.181:2000/rtp/238.1.79.35:4392
CCTV13,http://60.168.225.189:2000/rtp/238.1.79.35:4392
CCTV13,http://60.168.225.251:2000/rtp/238.1.79.35:4392
CCTV13,http://60.169.42.1:4000/rtp/238.1.79.35:4392
CCTV14,http://114.98.161.172:2000/rtp/238.1.78.243:7816
CCTV14,http://117.57.79.182:8888/rtp/238.1.78.243:7816
CCTV14,http://117.67.176.35:4022/rtp/238.1.78.243:7816
CCTV14,http://117.69.24.205:8888/rtp/238.1.78.243:7816
CCTV14,http://117.69.50.205:8888/rtp/238.1.78.243:7816
CCTV14,http://117.82.217.77:4000/rtp/238.1.78.243:7816
CCTV14,http://180.117.245.212:4022/rtp/238.1.78.243:7816
CCTV14,http://183.166.124.121:8888/rtp/238.1.78.243:7816
CCTV14,http://223.215.11.181:2000/rtp/238.1.78.243:7816
CCTV14,http://60.168.225.189:2000/rtp/238.1.78.243:7816
CCTV14,http://60.168.225.251:2000/rtp/238.1.78.243:7816
CCTV14,http://60.169.42.1:4000/rtp/238.1.78.243:7816
CCTV15,http://114.98.161.172:2000/rtp/238.1.78.222:7648
CCTV15,http://117.57.79.182:8888/rtp/238.1.78.222:7648
CCTV15,http://117.67.176.35:4022/rtp/238.1.78.222:7648
CCTV15,http://117.69.24.205:8888/rtp/238.1.78.222:7648
CCTV15,http://117.69.50.205:8888/rtp/238.1.78.222:7648
CCTV15,http://117.82.217.77:4000/rtp/238.1.78.222:7648
CCTV15,http://180.117.245.212:4022/rtp/238.1.78.222:7648
CCTV15,http://183.166.124.121:8888/rtp/238.1.78.222:7648
CCTV15,http://223.215.11.181:2000/rtp/238.1.78.222:7648
CCTV15,http://60.168.225.189:2000/rtp/238.1.78.222:7648
CCTV15,http://60.168.225.251:2000/rtp/238.1.78.222:7648
CCTV15,http://60.169.42.1:4000/rtp/238.1.78.222:7648
CCTV17,http://114.98.161.172:2000/rtp/238.1.78.178:7296
CCTV17,http://117.57.79.182:8888/rtp/238.1.78.178:7296
CCTV17,http://117.67.176.35:4022/rtp/238.1.78.178:7296
CCTV17,http://117.69.24.205:8888/rtp/238.1.78.178:7296
CCTV17,http://117.69.50.205:8888/rtp/238.1.78.178:7296
CCTV17,http://117.82.217.77:4000/rtp/238.1.78.178:7296
CCTV17,http://180.117.245.212:4022/rtp/238.1.78.178:7296
CCTV17,http://183.166.124.121:8888/rtp/238.1.78.178:7296
CCTV17,http://223.215.11.181:2000/rtp/238.1.78.178:7296
CCTV17,http://60.168.225.189:2000/rtp/238.1.78.178:7296
CCTV17,http://60.168.225.251:2000/rtp/238.1.78.178:7296
CCTV17,http://60.169.42.1:4000/rtp/238.1.78.178:7296
CCTV世界地理,http://114.98.161.172:2000/rtp/238.1.79.60:4616
CCTV世界地理,http://117.57.79.182:8888/rtp/238.1.79.60:4616
CCTV世界地理,http://117.67.176.35:4022/rtp/238.1.79.60:4616
CCTV世界地理,http://117.69.24.205:8888/rtp/238.1.79.60:4616
CCTV世界地理,http://117.69.50.205:8888/rtp/238.1.79.60:4616
CCTV世界地理,http://117.82.217.77:4000/rtp/238.1.79.60:4616
CCTV世界地理,http://180.117.245.212:4022/rtp/238.1.79.60:4616
CCTV世界地理,http://183.166.124.121:8888/rtp/238.1.79.60:4616
CCTV世界地理,http://223.215.11.181:2000/rtp/238.1.79.60:4616
CCTV世界地理,http://60.168.225.189:2000/rtp/238.1.79.60:4616
CCTV世界地理,http://60.168.225.251:2000/rtp/238.1.79.60:4616
CCTV世界地理,http://60.169.42.1:4000/rtp/238.1.79.60:4616
CCTV兵器科技,http://114.98.161.172:2000/rtp/238.1.79.56:4584
CCTV兵器科技,http://117.57.79.182:8888/rtp/238.1.79.56:4584
CCTV兵器科技,http://117.67.176.35:4022/rtp/238.1.79.56:4584
CCTV兵器科技,http://117.69.24.205:8888/rtp/238.1.79.56:4584
CCTV兵器科技,http://117.69.50.205:8888/rtp/238.1.79.56:4584
CCTV兵器科技,http://117.82.217.77:4000/rtp/238.1.79.56:4584
CCTV兵器科技,http://180.117.245.212:4022/rtp/238.1.79.56:4584
CCTV兵器科技,http://183.166.124.121:8888/rtp/238.1.79.56:4584
CCTV兵器科技,http://223.215.11.181:2000/rtp/238.1.79.56:4584
CCTV兵器科技,http://60.168.225.189:2000/rtp/238.1.79.56:4584
CCTV兵器科技,http://60.168.225.251:2000/rtp/238.1.79.56:4584
CCTV兵器科技,http://60.169.42.1:4000/rtp/238.1.79.56:4584
CCTV央视台球,http://114.98.161.172:2000/rtp/238.1.79.59:4608
CCTV央视台球,http://117.57.79.182:8888/rtp/238.1.79.59:4608
CCTV央视台球,http://117.67.176.35:4022/rtp/238.1.79.59:4608
CCTV央视台球,http://117.69.24.205:8888/rtp/238.1.79.59:4608
CCTV央视台球,http://117.69.50.205:8888/rtp/238.1.79.59:4608
CCTV央视台球,http://117.82.217.77:4000/rtp/238.1.79.59:4608
CCTV央视台球,http://180.117.245.212:4022/rtp/238.1.79.59:4608
CCTV央视台球,http://183.166.124.121:8888/rtp/238.1.79.59:4608
CCTV央视台球,http://223.215.11.181:2000/rtp/238.1.79.59:4608
CCTV央视台球,http://60.168.225.189:2000/rtp/238.1.79.59:4608
CCTV央视台球,http://60.168.225.251:2000/rtp/238.1.79.59:4608
CCTV央视台球,http://60.169.42.1:4000/rtp/238.1.79.59:4608
CCTV央视文化精品,http://114.98.161.172:2000/rtp/238.1.79.54:4568
CCTV央视文化精品,http://117.57.79.182:8888/rtp/238.1.79.54:4568
CCTV央视文化精品,http://117.67.176.35:4022/rtp/238.1.79.54:4568
CCTV央视文化精品,http://117.69.24.205:8888/rtp/238.1.79.54:4568
CCTV央视文化精品,http://117.69.50.205:8888/rtp/238.1.79.54:4568
CCTV央视文化精品,http://117.82.217.77:4000/rtp/238.1.79.54:4568
CCTV央视文化精品,http://180.117.245.212:4022/rtp/238.1.79.54:4568
CCTV央视文化精品,http://183.166.124.121:8888/rtp/238.1.79.54:4568
CCTV央视文化精品,http://223.215.11.181:2000/rtp/238.1.79.54:4568
CCTV央视文化精品,http://60.168.225.189:2000/rtp/238.1.79.54:4568
CCTV央视文化精品,http://60.168.225.251:2000/rtp/238.1.79.54:4568
CCTV央视文化精品,http://60.169.42.1:4000/rtp/238.1.79.54:4568
CCTV女性时尚,http://114.98.161.172:2000/rtp/238.1.79.55:4576
CCTV女性时尚,http://117.57.79.182:8888/rtp/238.1.79.55:4576
CCTV女性时尚,http://117.67.176.35:4022/rtp/238.1.79.55:4576
CCTV女性时尚,http://117.69.24.205:8888/rtp/238.1.79.55:4576
CCTV女性时尚,http://117.69.50.205:8888/rtp/238.1.79.55:4576
CCTV女性时尚,http://117.82.217.77:4000/rtp/238.1.79.55:4576
CCTV女性时尚,http://180.117.245.212:4022/rtp/238.1.79.55:4576
CCTV女性时尚,http://183.166.124.121:8888/rtp/238.1.79.55:4576
CCTV女性时尚,http://223.215.11.181:2000/rtp/238.1.79.55:4576
CCTV女性时尚,http://60.168.225.189:2000/rtp/238.1.79.55:4576
CCTV女性时尚,http://60.168.225.251:2000/rtp/238.1.79.55:4576
CCTV女性时尚,http://60.169.42.1:4000/rtp/238.1.79.55:4576
CCTV怀旧剧场,http://114.98.161.172:2000/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://117.57.79.182:8888/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://117.67.176.35:4022/rtp/238.1.79.61:4624
CCTV怀旧剧场,http://117.69.24.205:8888/rtp/238.1.79.61:4624
